Year,Value
1960,59184116489
1961,49557050183
1962,46685178504
1963,50097303271
1964,59062254890
1965,69709153115
1966,75879434776
1967,72057028560
1968,69993497892
1969,78718820478
1970,91506211306
1971,98562023844
1972,112159813640
1973,136769878360
1974,142254742078
1975,161162492227
1976,151627687364
1977,172349014327
1978,148382111520
1979,176856525406
1980,189649992464
1981,194369049090
1982,203549627212
1983,228950200773
1984,258082147252
1985,307479585852
1986,298805792972
1987,271349773464
1988,310722213686
1989,345957485871
1990,358973230048
1991,381454703833
1992,424934065934
1993,442874596387
1994,562261129869
1995,732032045218
1996,860844098049
1997,958159424835
1998,1025276902079
1999,1089447108706
2000,1205260678392
2001,1332234719890
2002,1461906487858
2003,1649928718135
2004,1941745602165
2005,2268598904116
2006,2729784031906
2007,3523094314821
2008,4558431073438
2009,5059419738267
2010,6039658508486
2011,7492432097810
2012,8461623162714
2013,9490602600148
2014,10354831729340